"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG237","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG237","Grade 7 (G7) - London","48197","57362","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG237","Grade 7 (G7) - London","48197","57362","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Stronger Places","CLG237","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG237","Grade 7 (G7)","53132","62477","Policy Advisor","1.00","Policy","Yorkshire and the Humber"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG237","Higher Executive Officer (HEO) - London","30188","34826","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG237","Higher Executive Officer (HEO) - London","30188","34826","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG237","Senior Executive Officer (SEO) - London","39598","46117","Policy Manager","0.65","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG237","Senior Executive Officer (SEO)","36337","42899","Policy Manager","1.00","Policy","South West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG237","Senior Executive Officer (SEO)","39598","46117","Policy Manager","1.00","Policy","West Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Stronger Places","CLG237","Senior Executive Officer (SEO)","36337","42899","Policy Manager","1.00","Policy","West Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Housing and Planning","CLG241","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Housing and Planning","CLG241","Grade 6 (G6)","63465","74766","Policy Advisor","1.00","Policy","West Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Housing and Planning","CLG241","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG243","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG243","Grade 7 (G7)","53132","62477","Policy Advisor","1.00","Policy","South West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG243","Grade 7 (G7)","53132","62477","Policy Advisor","1.00","Policy","West Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG243","Grade 7 (G7)","53132","62477","Policy Advisor","1.00","Policy","West Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG243","Senior Executive Officer (SEO)","39598","46117","Policy Manager","1.00","Policy","West Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 6 (G6) - London","63465","74766","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Higher Executive Officer (HEO)","33210","38300","Operational Delivery Manager","1.00","Operational Delivery","North West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Higher Executive Officer (HEO)","33210","38300","Operational Delivery Manager","1.00","Operational Delivery","North West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Senior Executive Officer (SEO)","39598","46117","Operational Delivery Manager","1.00","Operational Delivery","West Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Stronger Places","CLG246","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Executive Officer (EO)","24827","29045","Policy Support Officer","1.00","Policy","South West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 6 (G6)","63465","74766","Policy Advisor","1.00","Policy","Devolved Nations"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 6 (G6) - London","63465","74766","Policy Advisor","0.90","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 6 (G6)","63465","74766","Policy Advisor","1.00","Policy","South West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 6 (G6)","63465","74766","Policy Advisor","1.00","Policy","West Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 7 (G7)","48197","57362","Policy Advisor","1.00","Policy","South West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 7 (G7)","53132","62477","Policy Advisor","1.00","Policy","West Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 7 (G7)","53132","62477","Policy Advisor","1.00","Policy","West Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Stronger Places","CLG246","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Higher Executive Officer (HEO) - London","30188","34826","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Higher Executive Officer (HEO)","33210","38300","Policy Manager","1.00","Policy","South West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Stronger Places","CLG246","Higher Executive Officer (HEO)","33210","38300","Policy Manager","1.00","Policy","West Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Stronger Places","CLG246","Higher Executive Officer (HEO)","30188","34826","Policy Manager","0.73","Policy","Yorkshire and the Humber"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Higher Executive Officer (HEO)","33210","38300","Policy Manager","1.00","Policy","Yorkshire and the Humber"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Senior Executive Officer (SEO)","39598","46117","Policy Manager","1.00","Policy","East of England"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Senior Executive Officer (SEO)","39598","46117","Policy Manager","1.00","Policy","East of England"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Senior Executive Officer (SEO) - London","36337","42899","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Senior Executive Officer (SEO) - London","36337","42899","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Senior Executive Officer (SEO) - London","39598","46117","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Senior Executive Officer (SEO) - London","39598","46117","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Senior Executive Officer (SEO)","36337","42899","Policy Manager","1.00","Policy","North West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Senior Executive Officer (SEO)","39598","46117","Policy Manager","1.00","Policy","South West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 7 (G7) - London","53132","62477","Project Delivery Advisor","1.00","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Grade 7 (G7)","53132","62477","Project Delivery Advisor","1.00","Project Delivery","West Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG246","Senior Executive Officer (SEO)","39598","46117","Project Delivery Manager","1.00","Project Delivery","West Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Housing and Planning","CLG247","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Housing and Planning","CLG247","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Housing and Planning","CLG247","Grade 7 (G7)","48197","57362","Policy Advisor","1.00","Policy","Devolved Nations"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Housing and Planning","CLG247","Grade 7 (G7) - London","48197","57362","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Housing and Planning","CLG247","Grade 7 (G7) - London","48197","57362","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Housing and Planning","CLG247","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Housing and Planning","CLG247","Grade 7 (G7)","53132","62477","Policy Advisor","1.00","Policy","North East"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Housing and Planning","CLG247","Grade 7 (G7)","48197","57362","Policy Advisor","1.00","Policy","North East"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Housing and Planning","CLG247","Grade 7 (G7)","53132","62477","Policy Advisor","1.00","Policy","North West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Housing and Planning","CLG247","Grade 7 (G7)","53132","62477","Policy Advisor","1.00","Policy","North West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Housing and Planning","CLG247","Grade 7 (G7)","53132","62477","Policy Advisor","1.00","Policy","South East"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Housing and Planning","CLG247","Grade 7 (G7)","53132","62477","Policy Advisor","1.00","Policy","South West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Housing and Planning","CLG247","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Housing and Planning","CLG247","Senior Executive Officer (SEO)","39598","46117","Policy Manager","1.00","Policy","South West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Housing and Planning","CLG247","Senior Executive Officer (SEO)","36337","42899","Policy Manager","1.00","Policy","West Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG263","Administrative Officer (AO) - London","26871","26871","Operational Delivery Support Officer","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG263","Executive Officer (EO) - London","24827","29045","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG263","Grade 6 (G6) - London","57446","68460","Policy Advisor","1.00","Policy","London"
