"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG569","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG569","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG330","Grade 7 (G7) - London","54632","63977","Statistics Advisor","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG330","Grade 7 (G7) - London","54632","63977","Statistics Advisor","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG330","Grade 7 (G7) - London","54632","63977","Statistics Advisor","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG268","Grade 7 (G7) - London","54632","63977","Statistics Advisor","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG268","Grade 7 (G7) - London","54632","63977","Statistics Advisor","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG268","Grade 7 (G7) - London","54632","63977","Statistics Advisor","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG380","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG380","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG380","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG224","Grade 7 (G7) - London","54632","63977","Project Delivery Advisor","1.00","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG224","Grade 7 (G7) - London","54632","63977","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Homes for Ukraine","CLG526","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Homes for Ukraine","CLG526","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG356","Grade 7 (G7) - London","54632","63977","Project Delivery Advisor","1.00","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG245","Grade 7 (G7) - London","54632","63977","Planning Advisor","1.00","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG343","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG343","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG330","Grade 7 (G7) - London","54632","63977","Statistics Advisor","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG330","Grade 7 (G7) - London","54632","63977","Statistics Advisor","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG330","Grade 7 (G7) - London","54632","63977","Statistics Advisor","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG330","Grade 7 (G7) - London","54632","63977","Statistics Advisor","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG316","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG439","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG511","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG511","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG569","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG569","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG452","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG452","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG387","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG387","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG542","Grade 7 (G7) - London","54632","63977","Statistics Advisor","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG435","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG435","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG435","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG435","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG344","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG344","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG486","Grade 7 (G7) - London","54632","63977","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG551","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG551","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG539","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG539","Grade 7 (G7) - London","54632","63977","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG353","Grade 7 (G7) - London","54632","63977","Finance Advisor","1.00","Finance","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG426","Higher Executive Officer (HEO) - London","33875","39400","Communications Manager","1.00","Communications","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG445","Higher Executive Officer (HEO) - London","33875","39400","Finance Manager","1.00","Finance","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG486","Higher Executive Officer (HEO) - London","33875","39400","Operational Delivery Manager","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG406","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG406","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG245","Higher Executive Officer (HEO) - London","33875","39400","Planning Manager","1.00","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG245","Higher Executive Officer (HEO) - London","33875","39400","Planning Manager","1.00","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG245","Higher Executive Officer (HEO) - London","33875","39400","Planning Manager","1.00","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG245","Higher Executive Officer (HEO) - London","33875","39400","Planning Manager","1.00","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Homes for Ukraine","CLG543","Higher Executive Officer (HEO) - London","33875","39400","Project Delivery Manager","1.00","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG451","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG451","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Homes for Ukraine","CLG543","Higher Executive Officer (HEO) - London","33875","39400","Operational Delivery Manager","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG420","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG420","Higher Executive Officer (HEO) - London","33875","39400","Operational Delivery Manager","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG414","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG339","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG240","Higher Executive Officer (HEO) - London","33875","39400","Human Resources Manager","1.00","Human Resources","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG489","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG521","Higher Executive Officer (HEO) - London","33875","39400","Communications Manager","1.00","Communications","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG521","Higher Executive Officer (HEO) - London","33875","39400","Communications Manager","1.00","Communications","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG321","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG539","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG254","Higher Executive Officer (HEO) - London","33875","39400","Operational Delivery Manager","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG575","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG567","Higher Executive Officer (HEO) - London","33875","39400","Planning Manager","1.00","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Homes for Ukraine","CLG543","Higher Executive Officer (HEO) - London","33875","39400","Project Delivery Manager","1.00","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Homes for Ukraine","CLG543","Higher Executive Officer (HEO) - London","33875","39400","Project Delivery Manager","1.00","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Homes for Ukraine","CLG543","Higher Executive Officer (HEO) - London","33875","39400","Project Delivery Manager","1.00","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Homes for Ukraine","CLG543","Higher Executive Officer (HEO) - London","33875","39400","Operational Delivery Manager","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG564","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Higher Executive Officer (HEO) - London","33875","39400","Operational Delivery Manager","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG419","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG419","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG231","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG546","Higher Executive Officer (HEO) - London","33875","39400","Social Research Manager","1.00","Social Research","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG507","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG484","Higher Executive Officer (HEO) - London","33875","39400","Operational Delivery Manager","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG321","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG436","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG522","Higher Executive Officer (HEO) - London","33875","39400","Communications Manager","1.00","Communications","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG463","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG217","Higher Executive Officer (HEO) - London","33875","39400","Statistics Manager","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG463","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG463","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG414","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Higher Executive Officer (HEO) - London","33875","39400","Digital Data and Technology Manager","1.00","Digital Data and Technology","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Higher Executive Officer (HEO) - London","33875","39400","Digital Data and Technology Manager","1.00","Digital Data and Technology","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Higher Executive Officer (HEO) - London","33875","39400","Digital Data and Technology Manager","1.00","Digital Data and Technology","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG424","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Higher Executive Officer (HEO) - London","33875","39400","Operational Delivery Manager","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG522","Higher Executive Officer (HEO) - London","33875","39400","Communications Manager","1.00","Communications","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG516","Higher Executive Officer (HEO) - London","33875","39400","Statistics Manager","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG357","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG507","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG231","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG380","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG246","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG324","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG486","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG539","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG404","Higher Executive Officer (HEO) - London","33875","39400","Communications Manager","1.00","Communications","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG385","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG423","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG423","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG423","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG423","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG522","Higher Executive Officer (HEO) - London","33875","39400","Communications Manager","1.00","Communications","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG217","Higher Executive Officer (HEO) - London","33875","39400","Statistics Manager","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG343","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG324","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG419","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG486","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Homes for Ukraine","CLG526","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG217","Higher Executive Officer (HEO) - London","33875","39400","Statistics Manager","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG217","Higher Executive Officer (HEO) - London","33875","39400","Statistics Manager","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG254","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG573","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG573","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG330","Higher Executive Officer (HEO) - London","33875","39400","Statistics Manager","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG369","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG269","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG417","Higher Executive Officer (HEO) - London","33875","39400","Planning Manager","1.00","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG330","Higher Executive Officer (HEO) - London","33875","39400","Statistics Manager","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG556","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG531","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG397","Higher Executive Officer (HEO) - London","33875","39400","Commercial Manager","1.00","Commercial","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG330","Higher Executive Officer (HEO) - London","33875","39400","Statistics Manager","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG485","Higher Executive Officer (HEO) - London","33875","39400","Operational Delivery Manager","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG485","Higher Executive Officer (HEO) - London","33875","39400","Operational Delivery Manager","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG445","Higher Executive Officer (HEO) - London","33875","39400","Finance Manager","1.00","Finance","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG154","Higher Executive Officer (HEO) - London","33875","39400","Project Delivery Manager","1.00","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG451","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG451","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG451","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG516","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG485","Higher Executive Officer (HEO) - London","33875","39400","Internal Audit Manager","1.00","Internal Audit","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG385","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG252","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG252","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG504","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG493","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG424","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG427","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG343","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG380","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG486","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG451","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG542","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG551","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG507","Higher Executive Officer (HEO) - London","33875","39400","Planning Manager","1.00","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG321","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG522","Higher Executive Officer (HEO) - London","33875","39400","Communications Manager","1.00","Communications","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG269","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG542","Higher Executive Officer (HEO) - London","33875","39400","Statistics Manager","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG484","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG345","Higher Executive Officer (HEO) - London","33875","39400","Finance Manager","1.00","Finance","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG556","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG369","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG159","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG570","Higher Executive Officer (HEO) - London","33875","39400","Human Resources Manager","1.00","Human Resources","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG436","Higher Executive Officer (HEO) - London","33875","39400","Operational Delivery Manager","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG507","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG507","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG385","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","1.00","Policy","London"
