"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Executive Officer (EO) - London","27854","32525","Policy Support Officer","0.89","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG353","Executive Officer (EO) - London","27854","32525","Operational Delivery Support Officer","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG313","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG280","Executive Officer (EO) - London","27854","32525","Human Resources Support Officer","1.00","Human Resources","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG355","Grade 6 (G6) - London","63465","74766","Digital, Data and Technology Advisor","1.00","Digital, Data and Technology","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG355","Grade 6 (G6) - London","63465","74766","Finance Advisor","1.00","Finance","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG438","Grade 6 (G6) - London","63465","74766","Knowledge & Information Management (KIM) Advisor","1.00","Knowledge & Information Management (KIM)","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG438","Grade 6 (G6) - London","63465","74766","Knowledge & Information Management (KIM) Advisor","1.00","Knowledge & Information Management (KIM)","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG438","Grade 6 (G6) - London","63465","74766","Knowledge & Information Management (KIM) Advisor","1.00","Knowledge & Information Management (KIM)","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG285","Grade 6 (G6) - London","63465","74766","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG285","Grade 6 (G6) - London","63465","74766","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG422","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG422","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG422","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG422","Grade 6 (G6) - London","63465","74766","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG288","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG313","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG313","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG445","Grade 6 (G6) - London","63465","74766","Digital, Data and Technology Advisor","1.00","Digital, Data and Technology","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG445","Grade 6 (G6) - London","63465","74766","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG445","Grade 6 (G6) - London","63465","74766","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG353","Grade 6 (G6) - London","63465","74766","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG499","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG353","Grade 6 (G6) - London","63465","74766","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG499","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG499","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG313","Grade 6 (G6) - London","63465","74766","Policy Advisor","0.61","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG517","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG313","Grade 6 (G6) - London","63465","74766","Policy Advisor","0.60","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG313","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG313","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG517","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG386","Grade 6 (G6) - London","63465","74766","Finance Advisor","1.00","Finance","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG393","Grade 6 (G6) - London","63465","74766","Finance Advisor","1.00","Finance","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG393","Grade 6 (G6) - London","63465","74766","Finance Advisor","1.00","Finance","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG393","Grade 6 (G6) - London","63465","74766","Finance Advisor","1.00","Finance","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG507","Grade 6 (G6) - London","63465","74766","Operational Delivery Advisor","0.60","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG479","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG280","Grade 6 (G6) - London","63465","74766","Human Resources Advisor","1.00","Human Resources","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG280","Grade 6 (G6) - London","63465","74766","Human Resources Advisor","1.00","Human Resources","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG146","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG427","Grade 6 (G6) - London","63465","74766","Communications Advisor","1.00","Communications","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG438","Grade 7 (G7) - London","53132","62477","Knowledge & Information Management (KIM) Advisor","1.00","Knowledge & Information Management (KIM)","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG438","Grade 7 (G7) - London","53132","62477","Knowledge & Information Management (KIM) Advisor","1.00","Knowledge & Information Management (KIM)","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG355","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG422","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG285","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG422","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG490","Grade 7 (G7) - London","53132","62477","Policy Advisor","0.61","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG422","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG422","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG422","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG422","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG422","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG422","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG422","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG422","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG286","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG422","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG386","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG288","Grade 7 (G7) - London","53132","62477","Policy Advisor","0.80","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG288","Grade 7 (G7) - London","53132","62477","Policy Advisor","0.50","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG499","Grade 7 (G7) - London","53132","62477","Finance Advisor","1.00","Finance","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG499","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG313","Grade 7 (G7) - London","53132","62477","Planning Advisor","1.00","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG313","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG445","Grade 7 (G7) - London","53132","62477","Digital, Data and Technology Advisor","1.00","Digital, Data and Technology","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG445","Grade 7 (G7) - London","53132","62477","Digital, Data and Technology Advisor","1.00","Digital, Data and Technology","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG445","Grade 7 (G7) - London","53132","62477","Digital, Data and Technology Advisor","0.80","Digital, Data and Technology","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG445","Grade 7 (G7) - London","53132","62477","Digital, Data and Technology Advisor","1.00","Digital, Data and Technology","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG445","Grade 7 (G7) - London","53132","62477","Digital, Data and Technology Advisor","1.00","Digital, Data and Technology","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG313","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG353","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG353","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG499","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG499","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG499","Grade 7 (G7) - London","53132","62477","Policy Advisor","0.80","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG499","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG313","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG517","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG313","Grade 7 (G7) - London","53132","62477","Policy Advisor","0.67","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG313","Grade 7 (G7) - London","53132","62477","Policy Advisor","0.80","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG499","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG517","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG517","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG353","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG353","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG517","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG356","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG386","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG386","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG393","Grade 7 (G7) - London","53132","62477","Finance Advisor","1.00","Finance","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG393","Grade 7 (G7) - London","53132","62477","Finance Advisor","1.00","Finance","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG313","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG313","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG313","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG280","Grade 7 (G7) - London","53132","62477","Human Resources Advisor","1.00","Human Resources","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG479","Grade 7 (G7) - London","53132","62477","Human Resources Advisor","1.00","Human Resources","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG280","Grade 7 (G7) - London","53132","62477","Human Resources Advisor","1.00","Human Resources","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG479","Grade 7 (G7) - London","53132","62477","Human Resources Advisor","1.00","Human Resources","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG502","Grade 7 (G7) - London","53132","62477","Human Resources Advisor","1.00","Human Resources","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG142","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG146","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG398","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","0.50","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG288","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG445","Higher Executive Officer (HEO) - London","33210","38300","Digital, Data and Technology Manager","1.00","Digital, Data and Technology","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG445","Higher Executive Officer (HEO) - London","33210","38300","Digital, Data and Technology Manager","1.00","Digital, Data and Technology","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG353","Higher Executive Officer (HEO) - London","33210","38300","Operational Delivery Manager","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG353","Higher Executive Officer (HEO) - London","33210","38300","Operational Delivery Manager","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
